zip,lat,lng,sumprecipitation,average summer temp
01010,42.12904,-72.206,0.1335210917,
01011,42.30233,-72.9645,0.1492350799,
01012,42.38495,-72.8468,0.1492350799,
01013,42.16059,-72.6079,0.1399002286,
01020,42.17618,-72.5654,0.1399002286,
01022,42.19721,-72.5425,0.1399002286,
01026,42.46858,-72.923,0.1492350799,
01027,42.29506,-72.743,0.1483761648,
01028,42.05967,-72.499,0.1387947836,
01029,42.19402,-73.0507,0.1441355546,
01030,42.06869,-72.6797,0.1399002286,
01031,42.32782,-72.1919,0.139335527,
01032,42.45313,-72.8197,0.1492350799,
01033,42.26082,-72.5036,0.1466463119,
01034,42.0826,-72.9561,0.1418741907,
01035,42.35563,-72.5692,0.1481631567,
01036,42.0638,-72.4157,0.1378586248,
01037,42.37063,-72.1947,0.139335527,
01038,42.38466,-72.6056,0.1481631567,
01039,42.41049,-72.6919,0.1481631567,
01040,42.21251,-72.6411,0.1399002286,
01050,42.29092,-72.8753,0.1492350799,
01053,42.35205,-72.7103,0.1481631567,
01054,42.47381,-72.4877,0.1454755373,
01056,42.19211,-72.4581,0.1378586248,
01057,42.09118,-72.3239,0.1378586248,
01060,42.32218,-72.6313,0.1481631567,
01062,42.32146,-72.6924,0.1481631567,
01063,42.31962,-72.6395,0.1481631567,
01066,42.40742,-72.6403,0.1481631567,
01068,42.35125,-72.0478,0.139335527,
01069,42.18798,-72.3058,0.1378586248,
01070,42.51958,-72.925,0.1526000758,
01071,42.16029,-72.8598,0.1418741907,
01072,42.46327,-72.4189,0.1453793858,
01073,42.23084,-72.7386,0.140008837,
01074,42.3837,-72.1002,0.139335527,
01075,42.25672,-72.5793,0.1464361105,
01077,42.05441,-72.7785,0.1418741907,
01079,42.18508,-72.3341,0.1378586248,
01080,42.18228,-72.3652,0.1378586248,
01081,42.06232,-72.2309,0.1335210917,
01082,42.29816,-72.2768,0.1453793858,
01083,42.20652,-72.1991,0.1335210917,
01084,42.38589,-72.8817,0.1492350799,
01085,42.15375,-72.7696,0.1418741907,
01088,42.38981,-72.6465,0.1481631567,
01089,42.12532,-72.6503,0.1399002286,
01092,42.20008,-72.2372,0.1336200103,
01093,42.44335,-72.651,0.1481631567,
01094,42.36481,-72.1355,0.139335527,
01095,42.12763,-72.4299,0.1378586248,
01096,42.40968,-72.7721,0.1492350799,
01097,42.17722,-72.8318,0.1418741907,
01098,42.39551,-72.9432,0.1492350799,
01103,42.10443,-72.59,0.1399002286,
01104,42.13326,-72.5673,0.1399002286,
01105,42.09911,-72.5787,0.1399002286,
01106,42.04877,-72.5716,0.1399002286,
01107,42.12116,-72.6064,0.1399002286,
01108,42.0814,-72.5587,0.1399002286,
01109,42.11839,-72.5488,0.1399002286,
01118,42.09476,-72.5253,0.1399002286,
01119,42.12452,-72.5113,0.1397878986,
01128,42.09497,-72.4881,0.1379424767,
01129,42.1211,-72.4877,0.1379291418,
01144,42.10189,-72.5909,0.1399002286,
01151,42.15294,-72.5088,0.1396161263,
01201,42.45614,-73.2811,0.155377911,
01220,42.62686,-73.1187,0.1563878477,
01222,42.06242,-73.3215,0.1465339646,
01223,42.31118,-73.0984,0.1534248531,
01224,42.50622,-73.1984,0.1557062244,
01225,42.56385,-73.1512,0.1563878477,
01226,42.47954,-73.1533,0.1534248531,
01229,42.29411,-73.3523,0.155377911,
01230,42.18197,-73.3424,0.1465339646,
01235,42.43181,-73.0734,0.1534248531,
01236,42.26923,-73.38,0.155377911,
01237,42.5529,-73.2537,0.1578007462,
01238,42.30072,-73.2255,0.1534248531,
01240,42.37567,-73.2647,0.155377911,
01242,42.3334,-73.2497,0.1543898146,
01243,42.34752,-73.0347,0.1534248531,
01244,42.10924,-73.2748,0.1465339646,
01245,42.19043,-73.2158,0.1441355546,
01247,42.69813,-73.0926,0.1563878477,
01253,42.20751,-73.1118,0.1441355546,
01254,42.37972,-73.3661,0.155377911,
01255,42.1068,-73.1221,0.1441355546,
01256,42.59627,-73.0196,0.1563878477,
01257,42.0976,-73.3724,0.1465339646,
01258,42.09396,-73.4662,0.1465339646,
01259,42.07316,-73.2328,0.1441355546,
01260,42.26663,-73.2712,0.155377911,
01262,42.30433,-73.3201,0.155377911,
01264,42.23997,-73.1969,0.1450909137,
01266,42.30264,-73.3985,0.155377911,
01267,42.66593,-73.2421,0.1567487292,
01270,42.51297,-73.0486,0.1563356927,
01301,42.62375,-72.6038,0.1507091428,
01330,42.51772,-72.8156,0.1526000758,
01331,42.56793,-72.1832,0.1421170274,
01337,42.69512,-72.5773,0.1507091428,
01338,42.5814,-72.8031,0.1526000758,
01339,42.61099,-72.8885,0.1526000758,
01340,42.68805,-72.7321,0.1507091428,
01341,42.50734,-72.7022,0.1502294275,
01342,42.54384,-72.6058,0.1507091428,
01343,42.66766,-72.9882,0.1527812246,
01344,42.60756,-72.4292,0.1481235325,
01346,42.6706,-72.8132,0.1526000758,
01347,42.56027,-72.5132,0.1506759389,
01349,42.56656,-72.4705,0.1481235325,
01350,42.72259,-72.9829,0.1526000758,
01351,42.54162,-72.5207,0.1507091428,
01354,42.63282,-72.5114,0.1505668813,
01355,42.45101,-72.3314,0.1453793858,
01360,42.67575,-72.446,0.1481235325,
01364,42.60449,-72.2926,0.1481235325,
01366,42.48858,-72.1856,0.1394885665,
01367,42.69674,-72.9139,0.1526000758,
01368,42.67815,-72.1856,0.1421170274,
01370,42.59607,-72.7292,0.1507091428,
01373,42.47292,-72.6152,0.1481631567,
01375,42.46475,-72.5549,0.1481631567,
01376,42.59273,-72.5459,0.1507091428,
01378,42.67711,-72.3406,0.1481235325,
01379,42.54149,-72.3989,0.1481235325,
01380,42.58675,-72.4026,0.1481235325,
01420,42.58559,-71.8169,0.1301095396,
01430,42.66069,-71.9232,0.1301095396,
01431,42.67652,-71.8232,0.1301095396,
01432,42.56351,-71.5706,0.1250057228,
01434,42.53149,-71.6166,0.1250057228,
01436,42.60579,-72.0896,0.1421170274,
01438,42.56028,-72.0358,0.1421170274,
01440,42.58797,-71.9865,0.1302118951,
01450,42.61368,-71.5614,0.1250057228,
01451,42.50005,-71.5775,0.1234345402,
01452,42.48378,-72.0051,0.1362127131,
01453,42.51961,-71.7658,0.1301095396,
01460,42.53503,-71.4891,0.1202513428,
01462,42.58994,-71.7204,0.1250057228,
01463,42.67126,-71.6043,0.1250057228,
01464,42.57411,-71.6475,0.1250057228,
01468,42.55324,-72.0688,0.1421170274,
01469,42.66514,-71.6916,0.1250057228,
01473,42.55122,-71.9027,0.1301095396,
01474,42.67088,-71.7508,0.1277692308,
01475,42.66675,-72.049,0.1421170274,
01501,42.19689,-71.8455,0.1238826337,
01503,42.38378,-71.6355,0.1218256886,
01504,42.0399,-71.5313,0.1192734646,
01505,42.35633,-71.7212,0.1218256886,
01506,42.19364,-72.1044,0.1335210917,
01507,42.13509,-71.968,0.1238826337,
01510,42.4119,-71.6888,0.1218256886,
01515,42.20328,-72.0467,0.1335210917,
01516,42.0528,-71.7511,0.1218237388,
01518,42.11342,-72.1163,0.1335210917,
01519,42.20077,-71.6789,0.1192734646,
01520,42.33685,-71.8518,0.1283637737,
01521,42.06012,-72.1659,0.1335210917,
01522,42.38142,-71.8711,0.1283637737,
01523,42.48176,-71.6808,0.1218256886,
01524,42.24919,-71.9199,0.1259905008,
01525,42.09899,-71.643,0.1192734646,
01527,42.19228,-71.774,0.1238826337,
01529,42.03906,-71.5777,0.1192734646,
01531,42.31929,-72.1279,0.139335527,
01532,42.32314,-71.6462,0.1218256886,
01534,42.13991,-71.6443,0.1192734646,
01535,42.2695,-72.0779,0.139335527,
01536,42.23189,-71.6922,0.1192734646,
01537,42.16177,-71.8922,0.1238826337,
01540,42.11649,-71.8582,0.1238826337,
01541,42.45649,-71.8813,0.1283637737,
01542,42.20241,-71.91,0.1238826337,
01543,42.38482,-71.9673,0.1283637737,
01545,42.28419,-71.7156,0.1218256886,
01550,42.06039,-72.0338,0.1335210917,
01560,42.17496,-71.6776,0.1192734646,
01561,42.44581,-71.6885,0.1218256886,
01562,42.24715,-71.9919,0.127165011,
01564,42.44124,-71.773,0.1283637737,
01566,42.1047,-72.0775,0.1335210917,
01568,42.17694,-71.6052,0.1192734646,
01569,42.05895,-71.6374,0.1192734646,
01570,42.05206,-71.8485,0.1238826337,
01571,42.05501,-71.9352,0.1238826337,
01581,42.26815,-71.614,0.1218256886,
01583,42.37034,-71.785,0.1283637737,
01585,42.23762,-72.1631,0.1337219224,
01588,42.11837,-71.6684,0.1192734646,
01590,42.13387,-71.7518,0.1219329343,
01602,42.27219,-71.8495,0.1283637737,
01603,42.24373,-71.8443,0.1249616196,
01604,42.25085,-71.7683,0.1263089877,
01605,42.28979,-71.788,0.1283637737,
01606,42.31367,-71.7961,0.1283637737,
01607,42.22684,-71.7904,0.1238826337,
01608,42.2621,-71.8015,0.1282089951,
01609,42.28592,-71.8285,0.1283637737,
01610,42.24645,-71.8097,0.1254636581,
01611,42.23945,-71.877,0.1242680921,
01612,42.31037,-71.931,0.1283637737,
01701,42.32195,-71.438,0.1168075066,
01702,42.28242,-71.4343,0.1168075066,
01718,42.52165,-71.4298,0.1198930663,
01719,42.48837,-71.5178,0.1219777726,
01720,42.48397,-71.4381,0.1168075066,
01721,42.25726,-71.4687,0.1164096824,
01730,42.4995,-71.278,0.1182954617,
01731,42.46422,-71.282,0.1168075066,
01740,42.43616,-71.6073,0.1218256886,
01741,42.53001,-71.3513,0.1198930663,
01742,42.46221,-71.365,0.1168075066,
01745,42.29155,-71.501,0.1195246469,
01746,42.19775,-71.445,0.1146961398,
01747,42.12477,-71.535,0.1192734646,
01748,42.2255,-71.5378,0.1192734646,
01749,42.38868,-71.5465,0.1218256886,
01752,42.3494,-71.5468,0.1218256886,
01754,42.4264,-71.4561,0.1168075066,
01756,42.09301,-71.5515,0.1192734646,
01757,42.15723,-71.5198,0.1192734646,
01760,42.28436,-71.3497,0.1168075066,
01770,42.23416,-71.3753,0.1146961398,
01772,42.30144,-71.5304,0.1218256886,
01773,42.42572,-71.3101,0.1168075066,
01775,42.42983,-71.5115,0.1215495858,
01776,42.38456,-71.4232,0.1168075066,
01778,42.3583,-71.359,0.1168075066,
01801,42.48694,-71.1542,0.1124467589,
01803,42.5028,-71.2015,0.1138994,
01810,42.64669,-71.1652,0.1148003717,
01821,42.54999,-71.2521,0.1177991587,
01824,42.59156,-71.3555,0.1198930663,
01826,42.68323,-71.3006,0.1198930663,
01827,42.67643,-71.5005,0.1225402372,
01830,42.7959,-71.0532,0.1165891049,
01832,42.79099,-71.1313,0.1165891049,
01833,42.72409,-70.9821,0.1085545063,
01834,42.75198,-71.0149,0.115853651,
01835,42.75292,-71.086,0.115916424,
01840,42.70695,-71.1601,0.1148003717,
01841,42.71077,-71.1649,0.1148003717,
01843,42.68985,-71.161,0.1148003717,
01844,42.73426,-71.1886,0.1148003717,
01845,42.67132,-71.0867,0.1148003717,
01850,42.65569,-71.3029,0.1198930663,
01851,42.62915,-71.3367,0.1198930663,
01852,42.63231,-71.2954,0.1198930663,
01854,42.64939,-71.3483,0.1198930663,
01860,42.83858,-71.0119,0.1163404001,
01862,42.57427,-71.2944,0.1198930663,
01863,42.63274,-71.3913,0.1198930663,
01864,42.58156,-71.0876,0.1148003717,
01867,42.53505,-71.1055,0.1148003717,
01876,42.61206,-71.2273,0.1148003717,
01879,42.66626,-71.4291,0.1198930663,
01880,42.50348,-71.0656,0.1139829461,
01886,42.58642,-71.4401,0.1198930663,
01887,42.56091,-71.1654,0.1148003717,
01890,42.45177,-71.1463,0.112404588,
01901,42.46125,-70.9464,0.1074960778,
01902,42.4712,-70.9398,0.1074960778,
01904,42.49151,-70.9717,0.107653559,
01905,42.46355,-70.9733,0.1074960778,
01906,42.46922,-71.013,0.1123181878,
01907,42.47572,-70.9068,0.1074960778,
01908,42.42856,-70.9261,0.1074960778,
01913,42.85297,-70.9446,0.1105337138,
01915,42.56841,-70.8647,0.1085545063,
01921,42.6815,-71.0189,0.1148003717,
01922,42.75862,-70.9176,0.1102392319,
01923,42.57398,-70.9492,0.1085545063,
01929,42.63478,-70.7768,0.1085545063,
01930,42.62605,-70.6897,0.1045871613,
01937,42.58579,-70.9841,0.1085545063,
01938,42.68568,-70.8399,0.1085545063,
01940,42.53523,-71.037,0.1148003717,
01944,42.58154,-70.7683,0.1085545063,
01945,42.49924,-70.8635,0.1079939481,
01949,42.6043,-71.0164,0.1148003717,
01950,42.81237,-70.8879,0.1105337138,
01951,42.77742,-70.8502,0.1105337138,
01952,42.84655,-70.8616,0.1105337138,
01960,42.53374,-70.9722,0.1085545063,
01965,42.56294,-70.83,0.1085545063,
01966,42.65432,-70.6223,0.1045871613,
01969,42.72235,-70.8883,0.1085545063,
01970,42.51298,-70.9027,0.1085358757,
01982,42.62669,-70.8579,0.1085545063,
01983,42.63728,-70.9425,0.1085545063,
01984,42.60078,-70.8826,0.1085545063,
01985,42.7939,-70.9691,0.1105337138,
02019,42.0777,-71.4741,0.1146961398,
02021,42.17504,-71.1265,0.1100446309,
02025,42.23603,-70.8191,0.1041432703,
02026,42.24665,-71.1777,0.1109046972,
02030,42.2366,-71.2842,0.1147232536,
02032,42.15489,-71.2155,0.1100446309,
02035,42.06266,-71.2461,0.1115786556,
02038,42.08622,-71.4113,0.1146961398,
02043,42.21678,-70.8849,0.1041268587,
02045,42.28437,-70.8827,0.1074960778,
02047,42.14582,-70.696,0.1000512766,
02048,42.01626,-71.2187,0.1100446309,
02050,42.11443,-70.7149,0.1000512766,
02052,42.1848,-71.305,0.1146961398,
02053,42.15352,-71.4291,0.1146961398,
02054,42.1693,-71.3626,0.1146961398,
02056,42.11632,-71.3295,0.1146961398,
02061,42.16075,-70.8177,0.1041268587,
02062,42.18563,-71.1946,0.1100446309,
02066,42.20129,-70.7616,0.1039026182,
02067,42.10778,-71.1818,0.1100446309,
02071,42.10392,-71.27,0.1146961398,
02072,42.1192,-71.1019,0.1100446309,
02081,42.14689,-71.2592,0.1140926229,
02090,42.22024,-71.2106,0.1100446309,
02093,42.05129,-71.3552,0.1146961398,
02108,42.35657,-71.0652,0.112404588,
02109,42.36498,-71.0528,0.112404588,
02110,42.35797,-71.0519,0.112404588,
02111,42.35067,-71.0605,0.112404588,
02113,42.36526,-71.0552,0.112404588,
02114,42.36337,-71.0669,0.112404588,
02115,42.34046,-71.0948,0.112404588,
02116,42.35105,-71.0764,0.112404588,
02118,42.33806,-71.0706,0.112404588,
02119,42.32405,-71.0852,0.112404588,
02120,42.33212,-71.0965,0.112404588,
02121,42.3057,-71.0869,0.112404588,
02122,42.29427,-71.0519,0.112404588,
02124,42.28583,-71.0711,0.112404588,
02125,42.31578,-71.0562,0.112404588,
02126,42.27588,-71.0918,0.112404588,
02127,42.33455,-71.0388,0.112404588,
02128,42.37324,-71.0162,0.112404588,
02129,42.37975,-71.0617,0.112404588,
02130,42.30823,-71.1152,0.112404588,
02131,42.28392,-71.1247,0.112404588,
02132,42.27931,-71.1607,0.112404588,
02133,42.35838,-71.0638,0.112404588,
02134,42.35855,-71.1293,0.112404588,
02135,42.34989,-71.1542,0.112404588,
02136,42.25505,-71.1266,0.111759277,
02138,42.37997,-71.1345,0.112404588,
02139,42.36224,-71.1025,0.112404588,
02140,42.39332,-71.1334,0.112404588,
02141,42.37041,-71.0822,0.112404588,
02142,42.36295,-71.0819,0.112404588,
02143,42.38142,-71.0968,0.112404588,
02144,42.40088,-71.122,0.112404588,
02145,42.39206,-71.0895,0.112404588,
02148,42.43048,-71.0576,0.112404588,
02149,42.40643,-71.0545,0.112404588,
02150,42.39587,-71.0325,0.112404588,
02151,42.41887,-71.004,0.1108417766,
02152,42.37724,-70.9812,0.1074960778,
02155,42.42324,-71.1088,0.112404588,
02163,42.36717,-71.1251,0.112404588,
02169,42.23971,-71.018,0.110267224,
02170,42.26644,-71.0162,0.112404588,
02171,42.28709,-71.026,0.112404588,
02176,42.45561,-71.059,0.112404588,
02180,42.47396,-71.0971,0.112404588,
02184,42.20386,-71.0022,0.1076815838,
02186,42.23854,-71.0846,0.1101744768,
02188,42.20724,-70.9576,0.1041268587,
02189,42.2111,-70.9314,0.1041268587,
02190,42.16625,-70.9525,0.1041268587,
02191,42.24434,-70.9438,0.1050112181,
02199,42.34748,-71.082,0.112404588,
02203,42.36144,-71.0595,0.112404588,
02205,42.34935,-71.0556,0.112404588,
02210,42.34815,-71.0394,0.112404588,
02215,42.34741,-71.1028,0.112404588,
02301,42.07791,-71.0422,0.1100446309,
02302,42.08792,-70.9986,0.1067002019,
