zip,lat,lng,average precip,average temp (K),average temp (C),average temp (F)
00751,18.01205,-66.2587,0.0474135816,296.6265023,23.62650225,74.52770406
00754,18.1447,-65.9757,0.05904995302,297.5642929,24.56429291,76.21572723
00757,17.9933,-66.3906,0.03785621253,297.0229241,24.02292412,75.24126341
00765,18.12365,-65.4301,0.07403038939,298.5933151,25.59331512,78.06796722
00766,18.13039,-66.4757,0.04708223989,296.5486908,23.5486908,74.38764343
00767,18.07033,-65.8962,0.05904995302,297.5642929,24.56429291,76.21572723
00769,18.09459,-66.3607,0.04708223989,296.5486908,23.5486908,74.38764343
00771,18.18797,-65.8692,0.05904995302,297.5642929,24.56429291,76.21572723
00772,18.43048,-65.9038,0.06552030519,298.2431526,25.24315262,77.43767471
00773,18.34073,-65.7276,0.07209047452,298.522974,25.52297401,77.94135323
00775,18.31387,-65.2862,0.08662802726,298.5418301,25.54183006,77.97529411
00777,18.22365,-65.909,0.05904995302,297.5642929,24.56429291,76.21572723
00778,18.26319,-65.9794,0.06540641324,298.2312032,25.23120324,77.41616584
00780,18.09998,-66.5703,0.04493450473,297.0833035,24.08330345,75.34994621
00782,18.22501,-66.2245,0.05257229581,296.9039307,23.90393066,75.0270752
00783,18.30348,-66.3285,0.05265397926,297.9638634,24.96386337,76.93495407
00784,18.00558,-66.1365,0.04864259121,296.9406164,23.94061641,75.09310953
00786,18.1357,-66.2288,0.05257229581,296.9039307,23.90393066,75.0270752
00791,18.14391,-65.814,0.05904995302,297.5642929,24.56429291,76.21572723
00794,18.19934,-66.3118,0.04708223989,296.5486908,23.5486908,74.38764343
00795,18.05128,-66.4949,0.04647094496,296.7008539,23.70085388,74.66153698
00802,18.34349,-64.9287,0.02377342427,298.5942059,25.59420586,78.06957054
00820,17.7388,-64.707,0.0276272774,298.7900097,25.79000967,78.42201741
00830,18.33857,-64.738,0.02340853582,298.5503681,25.55036813,77.99066263
00840,17.72649,-64.8472,0.01564741492,298.8306999,25.83069992,78.49525986
00850,17.72763,-64.7912,0.01564741492,298.8306999,25.83069992,78.49525986
00851,17.74757,-64.7874,0.01682616641,298.8018728,25.80187284,78.44337112
00901,18.46478,-66.1028,0.0580517893,298.3219872,25.32198715,77.57957687
00906,18.46446,-66.095,0.0580517893,298.3219872,25.32198715,77.57957687
00907,18.45287,-66.0838,0.0580517893,298.3219872,25.32198715,77.57957687
00909,18.44131,-66.0687,0.0580517893,298.3219872,25.32198715,77.57957687
00911,18.45133,-66.0564,0.0580517893,298.3219872,25.32198715,77.57957687
00912,18.44503,-66.06,0.0580517893,298.3219872,25.32198715,77.57957687
00913,18.45024,-66.0428,0.0580517893,298.3219872,25.32198715,77.57957687
00915,18.43673,-66.0458,0.0580517893,298.3219872,25.32198715,77.57957687
00917,18.4208,-66.0499,0.0580517893,298.3219872,25.32198715,77.57957687
00918,18.42139,-66.0677,0.0580517893,298.3219872,25.32198715,77.57957687
00920,18.41904,-66.0902,0.0580517893,298.3219872,25.32198715,77.57957687
00921,18.39206,-66.0871,0.0580517893,298.3219872,25.32198715,77.57957687
00923,18.41146,-66.0372,0.0580517893,298.3219872,25.32198715,77.57957687
00924,18.39987,-66.0134,0.05814769851,298.3209748,25.32097477,77.57775459
00925,18.40028,-66.0506,0.0580517893,298.3219872,25.32198715,77.57957687
00926,18.34691,-66.0543,0.0580517893,298.3219872,25.32198715,77.57957687
00927,18.38884,-66.0715,0.0580517893,298.3219872,25.32198715,77.57957687
00934,18.41372,-66.12,0.0580517893,298.3219872,25.32198715,77.57957687
00949,18.43166,-66.2135,0.0580517893,298.3219872,25.32198715,77.57957687
00950,18.46201,-66.2392,0.05767353028,298.2968911,25.29689113,77.53440404
00951,18.43175,-66.2563,0.05395368444,298.0500938,25.05009377,77.09016879
00952,18.42874,-66.189,0.0580517893,298.3219872,25.32198715,77.57957687
00953,18.36319,-66.2476,0.05595911458,298.1831463,25.18314629,77.32966333
00956,18.32121,-66.1719,0.0580517893,298.3219872,25.32198715,77.57957687
00957,18.36696,-66.1886,0.0580517893,298.3219872,25.32198715,77.57957687
00959,18.3852,-66.1558,0.0580517893,298.3219872,25.32198715,77.57957687
00960,18.41674,-66.1437,0.0580517893,298.3219872,25.32198715,77.57957687
00961,18.40987,-66.1642,0.0580517893,298.3219872,25.32198715,77.57957687
00962,18.43514,-66.1395,0.0580517893,298.3219872,25.32198715,77.57957687
00965,18.42853,-66.1118,0.0580517893,298.3219872,25.32198715,77.57957687
00966,18.39784,-66.1139,0.0580517893,298.3219872,25.32198715,77.57957687
00968,18.40609,-66.1012,0.0580517893,298.3219872,25.32198715,77.57957687
00969,18.36696,-66.11,0.0580517893,298.3219872,25.32198715,77.57957687
00971,18.32067,-66.1175,0.0580517893,298.3219872,25.32198715,77.57957687
00976,18.33903,-65.9929,0.06403619293,298.2588183,25.25881829,77.46587292
00979,18.43734,-66.0089,0.05909108128,298.3110168,25.31101682,77.55983028
00982,18.40961,-65.9914,0.0644090813,298.2548822,25.25488223,77.45878802
00983,18.41788,-65.981,0.06552030519,298.2431526,25.24315262,77.43767471
00985,18.40628,-65.9477,0.06552030519,298.2431526,25.24315262,77.43767471
00987,18.34115,-65.9426,0.06552030519,298.2431526,25.24315262,77.43767471
01001,42.06262,-72.6252,0.1790266981,271.3497124,-1.650287628,29.02948227
01002,42.37633,-72.4646,0.1849204938,271.1349316,-1.865068436,28.64287682
01003,42.39135,-72.5233,0.1793787628,270.3073521,-2.692647934,27.15323372
01005,42.42117,-72.1066,0.18284876,270.8147316,-2.185268402,28.06651688
01007,42.28163,-72.4001,0.1849204938,271.1349316,-1.865068436,28.64287682
01008,42.18234,-72.9582,0.1726445357,270.2704487,-2.729551315,27.08680763
01009,42.21133,-72.3419,0.1827890813,271.8730488,-1.126951218,29.97148781
01010,42.12904,-72.206,0.1832473099,271.5131168,-1.486883163,29.32361031
01011,42.30233,-72.9645,0.1716504524,269.1588955,-3.841104507,25.08601189
01012,42.38495,-72.8468,0.1716504524,269.1588955,-3.841104507,25.08601189
01013,42.16059,-72.6079,0.1790266981,271.3497124,-1.650287628,29.02948227
01020,42.17618,-72.5654,0.1790266981,271.3497124,-1.650287628,29.02948227
01022,42.19721,-72.5425,0.1790266981,271.3497124,-1.650287628,29.02948227
01026,42.46858,-72.923,0.1716504524,269.1588955,-3.841104507,25.08601189
01027,42.29506,-72.743,0.1778430253,270.0791356,-2.920864423,26.74244404
01028,42.05967,-72.499,0.1810638747,271.6330776,-1.366922369,29.53953974
01029,42.19402,-73.0507,0.1552927777,270.2557011,-2.744298935,27.06026192
01030,42.06869,-72.6797,0.1790266981,271.3497124,-1.650287628,29.02948227
01031,42.32782,-72.1919,0.18284876,270.8147316,-2.185268402,28.06651688
01032,42.45313,-72.8197,0.1716504524,269.1588955,-3.841104507,25.08601189
01033,42.26082,-72.5036,0.1812161339,270.6578441,-2.342155894,27.78411939
01034,42.0826,-72.9561,0.1726445357,270.2704487,-2.729551315,27.08680763
01035,42.35563,-72.5692,0.1793787628,270.3073521,-2.692647934,27.15323372
01036,42.0638,-72.4157,0.1827890813,271.8730488,-1.126951218,29.97148781
01037,42.37063,-72.1947,0.18284876,270.8147316,-2.185268402,28.06651688
01038,42.38466,-72.6056,0.1793787628,270.3073521,-2.692647934,27.15323372
01039,42.41049,-72.6919,0.1793787628,270.3073521,-2.692647934,27.15323372
01040,42.21251,-72.6411,0.1790266981,271.3497124,-1.650287628,29.02948227
01050,42.29092,-72.8753,0.1716504524,269.1588955,-3.841104507,25.08601189
01053,42.35205,-72.7103,0.1793787628,270.3073521,-2.692647934,27.15323372
01054,42.47381,-72.4877,0.1847290823,271.106347,-1.893653048,28.59142451
01056,42.19211,-72.4581,0.1827890813,271.8730488,-1.126951218,29.97148781
01057,42.09118,-72.3239,0.1827890813,271.8730488,-1.126951218,29.97148781
01060,42.32218,-72.6313,0.1793787628,270.3073521,-2.692647934,27.15323372
01062,42.32146,-72.6924,0.1793787628,270.3073521,-2.692647934,27.15323372
01063,42.31962,-72.6395,0.1793787628,270.3073521,-2.692647934,27.15323372
01066,42.40742,-72.6403,0.1793787628,270.3073521,-2.692647934,27.15323372
01068,42.35125,-72.0478,0.18284876,270.8147316,-2.185268402,28.06651688
01069,42.18798,-72.3058,0.1827890813,271.8730488,-1.126951218,29.97148781
01070,42.51958,-72.925,0.1683296556,268.3753719,-4.624628067,23.67566948
01071,42.16029,-72.8598,0.1726445357,270.2704487,-2.729551315,27.08680763
01072,42.46327,-72.4189,0.1849204938,271.1349316,-1.865068436,28.64287682
01073,42.23084,-72.7386,0.1786755484,271.2903308,-1.709669235,28.92259538
01074,42.3837,-72.1002,0.18284876,270.8147316,-2.185268402,28.06651688
01075,42.25672,-72.5793,0.1793051773,270.5252173,-2.474782744,27.54539106
01077,42.05441,-72.7785,0.1726445357,270.2704487,-2.729551315,27.08680763
01079,42.18508,-72.3341,0.1827890813,271.8730488,-1.126951218,29.97148781
01080,42.18228,-72.3652,0.1827890813,271.8730488,-1.126951218,29.97148781
01081,42.06232,-72.2309,0.1832473099,271.5131168,-1.486883163,29.32361031
01082,42.29816,-72.2768,0.1849204938,271.1349316,-1.865068436,28.64287682
01083,42.20652,-72.1991,0.1832473099,271.5131168,-1.486883163,29.32361031
01084,42.38589,-72.8817,0.1716504524,269.1588955,-3.841104507,25.08601189
01085,42.15375,-72.7696,0.1726445357,270.2704487,-2.729551315,27.08680763
01088,42.38981,-72.6465,0.1793787628,270.3073521,-2.692647934,27.15323372
01089,42.12532,-72.6503,0.1790266981,271.3497124,-1.650287628,29.02948227
01092,42.20008,-72.2372,0.1832368599,271.5213252,-1.478674818,29.33838533
01093,42.44335,-72.651,0.1793787628,270.3073521,-2.692647934,27.15323372
01094,42.36481,-72.1355,0.18284876,270.8147316,-2.185268402,28.06651688
01095,42.12763,-72.4299,0.1827890813,271.8730488,-1.126951218,29.97148781
01096,42.40968,-72.7721,0.1716504524,269.1588955,-3.841104507,25.08601189
01097,42.17722,-72.8318,0.1726445357,270.2704487,-2.729551315,27.08680763
01098,42.39551,-72.9432,0.1716504524,269.1588955,-3.841104507,25.08601189
01103,42.10443,-72.59,0.1790266981,271.3497124,-1.650287628,29.02948227
01104,42.13326,-72.5673,0.1790266981,271.3497124,-1.650287628,29.02948227
01105,42.09911,-72.5787,0.1790266981,271.3497124,-1.650287628,29.02948227
01106,42.04877,-72.5716,0.1790266981,271.3497124,-1.650287628,29.02948227
01107,42.12116,-72.6064,0.1790266981,271.3497124,-1.650287628,29.02948227
01108,42.0814,-72.5587,0.1790266981,271.3497124,-1.650287628,29.02948227
01109,42.11839,-72.5488,0.1790266981,271.3497124,-1.650287628,29.02948227
01118,42.09476,-72.5253,0.1790266981,271.3497124,-1.650287628,29.02948227
01119,42.12452,-72.5113,0.1792337062,271.3785066,-1.621493407,29.08131187
01128,42.09497,-72.4881,0.1826345541,271.8515545,-1.148445495,29.93279811
01129,42.1211,-72.4877,0.1826591285,271.8549727,-1.145027268,29.93895092
01144,42.10189,-72.5909,0.1790266981,271.3497124,-1.650287628,29.02948227
01151,42.15294,-72.5088,0.1795502579,271.422538,-1.577462003,29.16056839
01201,42.45614,-73.2811,0.1485411555,270.5694828,-2.430517197,27.62506905
01220,42.62686,-73.1187,0.1505146469,268.839323,-4.160676956,24.51078148
01222,42.06242,-73.3215,0.1511984636,271.0408688,-1.959131241,28.47356377
01223,42.31118,-73.0984,0.1536121299,269.565218,-3.434782028,25.81739235
01224,42.50622,-73.1984,0.1512272086,269.0063118,-3.993688175,24.81136128
01225,42.56385,-73.1512,0.1505146469,268.839323,-4.160676956,24.51078148
01226,42.47954,-73.1533,0.1536121299,269.565218,-3.434782028,25.81739235
01229,42.29411,-73.3523,0.1485411555,270.5694828,-2.430517197,27.62506905
01230,42.18197,-73.3424,0.1511984636,271.0408688,-1.959131241,28.47356377
01235,42.43181,-73.0734,0.1536121299,269.565218,-3.434782028,25.81739235
01236,42.26923,-73.38,0.1485411555,270.5694828,-2.430517197,27.62506905
01237,42.5529,-73.2537,0.1470801849,269.9671685,-3.032831545,26.54090322
01238,42.30072,-73.2255,0.1536121299,269.565218,-3.434782028,25.81739235
01240,42.37567,-73.2647,0.1485411555,270.5694828,-2.430517197,27.62506905
01242,42.3334,-73.2497,0.1511066767,270.0614024,-2.9385976,26.71052432
01243,42.34752,-73.0347,0.1536121299,269.565218,-3.434782028,25.81739235
01244,42.10924,-73.2748,0.1511984636,271.0408688,-1.959131241,28.47356377
01245,42.19043,-73.2158,0.1552927777,270.2557011,-2.744298935,27.06026192
01247,42.69813,-73.0926,0.1505146469,268.839323,-4.160676956,24.51078148
01253,42.20751,-73.1118,0.1552927777,270.2557011,-2.744298935,27.06026192
01254,42.37972,-73.3661,0.1485411555,270.5694828,-2.430517197,27.62506905
01255,42.1068,-73.1221,0.1552927777,270.2557011,-2.744298935,27.06026192
01256,42.59627,-73.0196,0.1505146469,268.839323,-4.160676956,24.51078148
01257,42.0976,-73.3724,0.1511984636,271.0408688,-1.959131241,28.47356377
01258,42.09396,-73.4662,0.1511984636,271.0408688,-1.959131241,28.47356377
01259,42.07316,-73.2328,0.1552927777,270.2557011,-2.744298935,27.06026192
01260,42.26663,-73.2712,0.1485411555,270.5694828,-2.430517197,27.62506905
01262,42.30433,-73.3201,0.1485411555,270.5694828,-2.430517197,27.62506905
01264,42.23997,-73.1969,0.1551199313,270.1846882,-2.815311754,26.93243884
01266,42.30264,-73.3985,0.1485411555,270.5694828,-2.430517197,27.62506905
01267,42.66593,-73.2421,0.1496374191,269.1273965,-3.872603519,25.02931367
01270,42.51297,-73.0486,0.1505691692,268.8521003,-4.147899663,24.53378061
01301,42.62375,-72.6038,0.1760147169,269.3598747,-3.640125275,25.44777451
01330,42.51772,-72.8156,0.1683296556,268.3753719,-4.624628067,23.67566948
01331,42.56793,-72.1832,0.1773690676,270.2020035,-2.797996521,26.96360626
01337,42.69512,-72.5773,0.1760147169,269.3598747,-3.640125275,25.44777451
01338,42.5814,-72.8031,0.1683296556,268.3753719,-4.624628067,23.67566948
01339,42.61099,-72.8885,0.1683296556,268.3753719,-4.624628067,23.67566948
01340,42.68805,-72.7321,0.1760147169,269.3598747,-3.640125275,25.44777451
01341,42.50734,-72.7022,0.1766485713,269.5383986,-3.46160137,25.76911753
01342,42.54384,-72.6058,0.1760147169,269.3598747,-3.640125275,25.44777451
01343,42.66766,-72.9882,0.1674776592,268.3975602,-4.602439771,23.71560841
01344,42.60756,-72.4292,0.1785412028,270.3498573,-2.65014267,27.22974319
01346,42.6706,-72.8132,0.1683296556,268.3753719,-4.624628067,23.67566948
01347,42.56027,-72.5132,0.1760471616,269.3725879,-3.627412114,25.4706582
01349,42.56656,-72.4705,0.1785412028,270.3498573,-2.65014267,27.22974319
01350,42.72259,-72.9829,0.1683296556,268.3753719,-4.624628067,23.67566948
01351,42.54162,-72.5207,0.1760147169,269.3598747,-3.640125275,25.44777451
01354,42.63282,-72.5114,0.1761537254,269.414344,-3.585655956,25.54581928
01355,42.45101,-72.3314,0.1849204938,271.1349316,-1.865068436,28.64287682
01360,42.67575,-72.446,0.1785412028,270.3498573,-2.65014267,27.22974319
01364,42.60449,-72.2926,0.1785412028,270.3498573,-2.65014267,27.22974319
01366,42.48858,-72.1856,0.1825472647,270.781019,-2.218980998,28.0058342
01367,42.69674,-72.9139,0.1683296556,268.3753719,-4.624628067,23.67566948
01368,42.67815,-72.1856,0.1773690676,270.2020035,-2.797996521,26.96360626
01370,42.59607,-72.7292,0.1760147169,269.3598747,-3.640125275,25.44777451
01373,42.47292,-72.6152,0.1793787628,270.3073521,-2.692647934,27.15323372
01375,42.46475,-72.5549,0.1793787628,270.3073521,-2.692647934,27.15323372
01376,42.59273,-72.5459,0.1760147169,269.3598747,-3.640125275,25.44777451
01378,42.67711,-72.3406,0.1785412028,270.3498573,-2.65014267,27.22974319
01379,42.54149,-72.3989,0.1785412028,270.3498573,-2.65014267,27.22974319
01380,42.58675,-72.4026,0.1785412028,270.3498573,-2.65014267,27.22974319
01420,42.58559,-71.8169,0.164559414,269.9830532,-3.016946793,26.56949577
01430,42.66069,-71.9232,0.164559414,269.9830532,-3.016946793,26.56949577
01431,42.67652,-71.8232,0.164559414,269.9830532,-3.016946793,26.56949577
01432,42.56351,-71.5706,0.1638081645,270.9079781,-2.092021942,28.2343605
01434,42.53149,-71.6166,0.1638081645,270.9079781,-2.092021942,28.2343605
01436,42.60579,-72.0896,0.1773690676,270.2020035,-2.797996521,26.96360626
01438,42.56028,-72.0358,0.1773690676,270.2020035,-2.797996521,26.96360626
01440,42.58797,-71.9865,0.1646686073,269.9849196,-3.015080395,26.57285529
01450,42.61368,-71.5614,0.1638081645,270.9079781,-2.092021942,28.2343605
01451,42.50005,-71.5775,0.1660521629,271.1755134,-1.824486593,28.71592413
01452,42.48378,-72.0051,0.1788484541,270.8534972,-2.146502757,28.13629504
01453,42.51961,-71.7658,0.164559414,269.9830532,-3.016946793,26.56949577
01460,42.53503,-71.4891,0.1656793948,271.6069444,-1.393055634,29.49249986
01462,42.58994,-71.7204,0.1638081645,270.9079781,-2.092021942,28.2343605
01463,42.67126,-71.6043,0.1638081645,270.9079781,-2.092021942,28.2343605
01464,42.57411,-71.6475,0.1638081645,270.9079781,-2.092021942,28.2343605
01468,42.55324,-72.0688,0.1773690676,270.2020035,-2.797996521,26.96360626
01469,42.66514,-71.6916,0.1638081645,270.9079781,-2.092021942,28.2343605
01473,42.55122,-71.9027,0.164559414,269.9830532,-3.016946793,26.56949577
01474,42.67088,-71.7508,0.1642149354,270.4071691,-2.592830914,27.33290435
01475,42.66675,-72.049,0.1773690676,270.2020035,-2.797996521,26.96360626
01501,42.19689,-71.8455,0.1708040734,271.6221371,-1.37786293,29.51984673
01503,42.38378,-71.6355,0.1683499609,271.4494629,-1.550537109,29.2090332
01504,42.0399,-71.5313,0.1706253876,272.04883,-0.9511699676,30.28789406
01505,42.35633,-71.7212,0.1683499609,271.4494629,-1.550537109,29.2090332
01506,42.19364,-72.1044,0.1832473099,271.5131168,-1.486883163,29.32361031
01507,42.13509,-71.968,0.1708040734,271.6221371,-1.37786293,29.51984673
01510,42.4119,-71.6888,0.1683499609,271.4494629,-1.550537109,29.2090332
01515,42.20328,-72.0467,0.1832473099,271.5131168,-1.486883163,29.32361031
01516,42.0528,-71.7511,0.1707242553,271.8127389,-1.187261125,29.86292997
01518,42.11342,-72.1163,0.1832473099,271.5131168,-1.486883163,29.32361031
01519,42.20077,-71.6789,0.1706253876,272.04883,-0.9511699676,30.28789406
01520,42.33685,-71.8518,0.1687940096,270.9509315,-2.049068451,28.31167679
01521,42.06012,-72.1659,0.1832473099,271.5131168,-1.486883163,29.32361031
01522,42.38142,-71.8711,0.1687940096,270.9509315,-2.049068451,28.31167679
01523,42.48176,-71.6808,0.1683499609,271.4494629,-1.550537109,29.2090332
01524,42.24919,-71.9199,0.1698585668,271.3064111,-1.693588853,28.95154007
01525,42.09899,-71.643,0.1706253876,272.04883,-0.9511699676,30.28789406
01527,42.19228,-71.774,0.1708040734,271.6221371,-1.37786293,29.51984673
01529,42.03906,-71.5777,0.1706253876,272.04883,-0.9511699676,30.28789406
01531,42.31929,-72.1279,0.18284876,270.8147316,-2.185268402,28.06651688
01532,42.32314,-71.6462,0.1683499609,271.4494629,-1.550537109,29.2090332
01534,42.13991,-71.6443,0.1706253876,272.04883,-0.9511699676,30.28789406
01535,42.2695,-72.0779,0.18284876,270.8147316,-2.185268402,28.06651688
01536,42.23189,-71.6922,0.1706253876,272.04883,-0.9511699676,30.28789406
01537,42.16177,-71.8922,0.1708040734,271.6221371,-1.37786293,29.51984673
01540,42.11649,-71.8582,0.1708040734,271.6221371,-1.37786293,29.51984673
01541,42.45649,-71.8813,0.1687940096,270.9509315,-2.049068451,28.31167679
01542,42.20241,-71.91,0.1708040734,271.6221371,-1.37786293,29.51984673
01543,42.38482,-71.9673,0.1687940096,270.9509315,-2.049068451,28.31167679
01545,42.28419,-71.7156,0.1683499609,271.4494629,-1.550537109,29.2090332
01550,42.06039,-72.0338,0.1832473099,271.5131168,-1.486883163,29.32361031
01560,42.17496,-71.6776,0.1706253876,272.04883,-0.9511699676,30.28789406
01561,42.44581,-71.6885,0.1683499609,271.4494629,-1.550537109,29.2090332
01562,42.24715,-71.9919,0.1721043242,271.3510167,-1.648983339,29.03182999
01564,42.44124,-71.773,0.1687940096,270.9509315,-2.049068451,28.31167679
01566,42.1047,-72.0775,0.1832473099,271.5131168,-1.486883163,29.32361031
01568,42.17694,-71.6052,0.1706253876,272.04883,-0.9511699676,30.28789406
01569,42.05895,-71.6374,0.1706253876,272.04883,-0.9511699676,30.28789406
01570,42.05206,-71.8485,0.1708040734,271.6221371,-1.37786293,29.51984673
01571,42.05501,-71.9352,0.1708040734,271.6221371,-1.37786293,29.51984673
01581,42.26815,-71.614,0.1683499609,271.4494629,-1.550537109,29.2090332
01583,42.37034,-71.785,0.1687940096,270.9509315,-2.049068451,28.31167679
01585,42.23762,-72.1631,0.183233544,271.4889946,-1.511005404,29.28019027
01588,42.11837,-71.6684,0.1706253876,272.04883,-0.9511699676,30.28789406
01590,42.13387,-71.7518,0.1707284885,271.8026301,-1.19736987,29.84473423
01602,42.27219,-71.8495,0.1687940096,270.9509315,-2.049068451,28.31167679
01603,42.24373,-71.8443,0.1703200826,271.4605217,-1.539478341,29.22893899
01604,42.25085,-71.7683,0.1697157061,271.2587067,-1.741293264,28.86567213
01605,42.28979,-71.788,0.1687940096,270.9509315,-2.049068451,28.31167679
01606,42.31367,-71.7961,0.1687940096,270.9509315,-2.049068451,28.31167679
01607,42.22684,-71.7904,0.1708040734,271.6221371,-1.37786293,29.51984673
01608,42.2621,-71.8015,0.1688634372,270.974115,-2.025884999,28.353407
01609,42.28592,-71.8285,0.1687940096,270.9509315,-2.049068451,28.31167679
01610,42.24645,-71.8097,0.1700948878,271.3853241,-1.614675949,29.09358329
01611,42.23945,-71.877,0.1706311719,271.5644014,-1.435598643,29.41592244
01612,42.31037,-71.931,0.1687940096,270.9509315,-2.049068451,28.31167679
01701,42.32195,-71.438,0.1692949499,272.2881947,-0.7118053436,30.71875038
