zip,lat,lng,average precip mm/hr,average temp (K),average temp (C),average temp (F)
00751,18.01205,-66.2587,0.2287609725,298.4982974,25.49829737,77.89693527
00754,18.1447,-65.9757,0.2440045441,299.5282326,26.52823257,79.75081863
00757,17.9933,-66.3906,0.2181396299,298.7999869,25.79998693,78.43997648
00765,18.12365,-65.4301,0.2684611897,300.2659912,27.26599121,81.07878418
00766,18.13039,-66.4757,0.2303950017,298.4178314,25.41783142,77.75209656
00767,18.07033,-65.8962,0.2440045441,299.5282326,26.52823257,79.75081863
00769,18.09459,-66.3607,0.2303950017,298.4178314,25.41783142,77.75209656
00771,18.18797,-65.8692,0.2440045441,299.5282326,26.52823257,79.75081863
00772,18.43048,-65.9038,0.2366712987,300.1351738,27.1351738,80.84331284
00773,18.34073,-65.7276,0.2640895034,300.3320618,27.33206177,81.19771118
00775,18.31387,-65.2862,0.277109083,300.2267952,27.2267952,81.00823135
00777,18.22365,-65.909,0.2440045441,299.5282326,26.52823257,79.75081863
00778,18.26319,-65.9794,0.2368003794,300.1244903,27.12449034,80.82408262
00780,18.09998,-66.5703,0.2596845289,298.7397804,25.73978043,78.33160477
00782,18.22501,-66.2245,0.2237472708,298.8234787,25.8234787,78.48226166
00783,18.30348,-66.3285,0.2305000136,299.7753277,26.77532768,80.19558983
00784,18.00558,-66.1365,0.2241963786,298.8207667,25.82076671,78.47738007
00786,18.1357,-66.2288,0.2237472708,298.8234787,25.8234787,78.48226166
00791,18.14391,-65.814,0.2440045441,299.5282326,26.52823257,79.75081863
00794,18.19934,-66.3118,0.2303950017,298.4178314,25.41783142,77.75209656
00795,18.05128,-66.4949,0.2387314762,298.5094655,25.50946553,77.91703795
00802,18.34349,-64.9287,0.1972430883,300.3216534,27.32165337,81.17897606
00820,17.7388,-64.707,0.1906777098,300.4654225,27.46542253,81.43776056
00830,18.33857,-64.738,0.1795070093,300.2882904,27.28829038,81.11892269
00840,17.72649,-64.8472,0.1980901487,300.495039,27.49503899,81.49107018
00850,17.72763,-64.7912,0.1980901487,300.495039,27.49503899,81.49107018
00851,17.74757,-64.7874,0.2010691373,300.4732079,27.47320793,81.45177428
00901,18.46478,-66.1028,0.2265483692,300.1825161,27.1825161,80.92852898
00906,18.46446,-66.095,0.2265483692,300.1825161,27.1825161,80.92852898
00907,18.45287,-66.0838,0.2265483692,300.1825161,27.1825161,80.92852898
00909,18.44131,-66.0687,0.2265483692,300.1825161,27.1825161,80.92852898
00911,18.45133,-66.0564,0.2265483692,300.1825161,27.1825161,80.92852898
00912,18.44503,-66.06,0.2265483692,300.1825161,27.1825161,80.92852898
00913,18.45024,-66.0428,0.2265483692,300.1825161,27.1825161,80.92852898
00915,18.43673,-66.0458,0.2265483692,300.1825161,27.1825161,80.92852898
00917,18.4208,-66.0499,0.2265483692,300.1825161,27.1825161,80.92852898
00918,18.42139,-66.0677,0.2265483692,300.1825161,27.1825161,80.92852898
00920,18.41904,-66.0902,0.2265483692,300.1825161,27.1825161,80.92852898
00921,18.39206,-66.0871,0.2265483692,300.1825161,27.1825161,80.92852898
00923,18.41146,-66.0372,0.2265483692,300.1825161,27.1825161,80.92852898
00924,18.39987,-66.0134,0.2266783659,300.1819081,27.18190814,80.92743465
00925,18.40028,-66.0506,0.2265483692,300.1825161,27.1825161,80.92852898
00926,18.34691,-66.0543,0.2265483692,300.1825161,27.1825161,80.92852898
00927,18.38884,-66.0715,0.2265483692,300.1825161,27.1825161,80.92852898
00934,18.41372,-66.12,0.2265483692,300.1825161,27.1825161,80.92852898
00949,18.43166,-66.2135,0.2265483692,300.1825161,27.1825161,80.92852898
00950,18.46201,-66.2392,0.2268252862,300.1539818,27.15398181,80.87716725
00951,18.43175,-66.2563,0.2295485217,299.8733721,26.87337205,80.3720697
00952,18.42874,-66.189,0.2265483692,300.1825161,27.1825161,80.92852898
00953,18.36319,-66.2476,0.2280803806,300.0246534,27.02465339,80.6443761
00956,18.32121,-66.1719,0.2265483692,300.1825161,27.1825161,80.92852898
00957,18.36696,-66.1886,0.2265483692,300.1825161,27.1825161,80.92852898
00959,18.3852,-66.1558,0.2265483692,300.1825161,27.1825161,80.92852898
00960,18.41674,-66.1437,0.2265483692,300.1825161,27.1825161,80.92852898
00961,18.40987,-66.1642,0.2265483692,300.1825161,27.1825161,80.92852898
00962,18.43514,-66.1395,0.2265483692,300.1825161,27.1825161,80.92852898
00965,18.42853,-66.1118,0.2265483692,300.1825161,27.1825161,80.92852898
00966,18.39784,-66.1139,0.2265483692,300.1825161,27.1825161,80.92852898
00968,18.40609,-66.1012,0.2265483692,300.1825161,27.1825161,80.92852898
00969,18.36696,-66.11,0.2265483692,300.1825161,27.1825161,80.92852898
00971,18.32067,-66.1175,0.2265483692,300.1825161,27.1825161,80.92852898
00976,18.33903,-65.9929,0.2346597125,300.1445815,27.14458146,80.86024663
00979,18.43734,-66.0089,0.2279570399,300.1759281,27.17592811,80.9166706
00982,18.40961,-65.9914,0.2351651306,300.1422178,27.14221775,80.85599196
00983,18.41788,-65.981,0.2366712987,300.1351738,27.1351738,80.84331284
00985,18.40628,-65.9477,0.2366712987,300.1351738,27.1351738,80.84331284
00987,18.34115,-65.9426,0.2366712987,300.1351738,27.1351738,80.84331284
01001,42.06262,-72.6252,0.1582697829,285.1459026,12.14590263,53.86262474
01002,42.37633,-72.4646,0.1644397398,285.0255318,12.02553177,53.64595718
01003,42.39135,-72.5233,0.1551510145,284.3005066,11.30050659,52.34091187
01005,42.42117,-72.1066,0.1611917588,284.8529358,11.85293579,53.33528442
01007,42.28163,-72.4001,0.1644397398,285.0255318,12.02553177,53.64595718
01008,42.18234,-72.9582,0.1559929863,284.1981182,11.19811821,52.15661278
01009,42.21133,-72.3419,0.1591813987,285.6279736,12.62797356,54.7303524
01010,42.12904,-72.206,0.160438972,285.4170837,12.41708374,54.35075073
01011,42.30233,-72.9645,0.1525076727,283.3279037,10.32790375,50.59022675
01012,42.38495,-72.8468,0.1525076727,283.3279037,10.32790375,50.59022675
01013,42.16059,-72.6079,0.1582697829,285.1459026,12.14590263,53.86262474
01020,42.17618,-72.5654,0.1582697829,285.1459026,12.14590263,53.86262474
01022,42.19721,-72.5425,0.1582697829,285.1459026,12.14590263,53.86262474
01026,42.46858,-72.923,0.1525076727,283.3279037,10.32790375,50.59022675
01027,42.29506,-72.743,0.1546257407,284.107235,11.10723502,51.99302304
01028,42.05967,-72.499,0.1587633855,285.4069243,12.40692432,54.33246377
01029,42.19402,-73.0507,0.1510004878,284.2386055,11.2386055,52.2294899
01030,42.06869,-72.6797,0.1582697829,285.1459026,12.14590263,53.86262474
01031,42.32782,-72.1919,0.1611917588,284.8529358,11.85293579,53.33528442
01032,42.45313,-72.8197,0.1525076727,283.3279037,10.32790375,50.59022675
01033,42.26082,-72.5036,0.1584034194,284.6031958,11.60319584,52.88575251
01034,42.0826,-72.9561,0.1559929863,284.1981182,11.19811821,52.15661278
01035,42.35563,-72.5692,0.1551510145,284.3005066,11.30050659,52.34091187
01036,42.0638,-72.4157,0.1591813987,285.6279736,12.62797356,54.7303524
01037,42.37063,-72.1947,0.1611917588,284.8529358,11.85293579,53.33528442
01038,42.38466,-72.6056,0.1551510145,284.3005066,11.30050659,52.34091187
01039,42.41049,-72.6919,0.1551510145,284.3005066,11.30050659,52.34091187
01040,42.21251,-72.6411,0.1582697829,285.1459026,12.14590263,53.86262474
01050,42.29092,-72.8753,0.1525076727,283.3279037,10.32790375,50.59022675
01053,42.35205,-72.7103,0.1551510145,284.3005066,11.30050659,52.34091187
01054,42.47381,-72.4877,0.164118907,285.0004894,12.00048938,53.60088089
01056,42.19211,-72.4581,0.1591813987,285.6279736,12.62797356,54.7303524
01057,42.09118,-72.3239,0.1591813987,285.6279736,12.62797356,54.7303524
01060,42.32218,-72.6313,0.1551510145,284.3005066,11.30050659,52.34091187
01062,42.32146,-72.6924,0.1551510145,284.3005066,11.30050659,52.34091187
01063,42.31962,-72.6395,0.1551510145,284.3005066,11.30050659,52.34091187
01066,42.40742,-72.6403,0.1551510145,284.3005066,11.30050659,52.34091187
01068,42.35125,-72.0478,0.1611917588,284.8529358,11.85293579,53.33528442
01069,42.18798,-72.3058,0.1591813987,285.6279736,12.62797356,54.7303524
01070,42.51958,-72.925,0.1472088759,282.7661304,9.766130447,49.57903481
01071,42.16029,-72.8598,0.1559929863,284.1981182,11.19811821,52.15661278
01072,42.46327,-72.4189,0.1644397398,285.0255318,12.02553177,53.64595718
01073,42.23084,-72.7386,0.1581445124,285.0937551,12.09375508,53.76875914
01074,42.3837,-72.1002,0.1611917588,284.8529358,11.85293579,53.33528442
01075,42.25672,-72.5793,0.1558028727,284.477204,11.477204,52.65896721
01077,42.05441,-72.7785,0.1559929863,284.1981182,11.19811821,52.15661278
01079,42.18508,-72.3341,0.1591813987,285.6279736,12.62797356,54.7303524
01080,42.18228,-72.3652,0.1591813987,285.6279736,12.62797356,54.7303524
01081,42.06232,-72.2309,0.160438972,285.4170837,12.41708374,54.35075073
01082,42.29816,-72.2768,0.1644397398,285.0255318,12.02553177,53.64595718
01083,42.20652,-72.1991,0.160438972,285.4170837,12.41708374,54.35075073
